uid,src_ip,dst_ip,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,payload_bytes_per_second,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic_direction,attack,attack_type,timestamp
CycQ9GgdhDh7WBOnh,192.168.100.115,192.168.100.218,http,167.324675,24.0,27.0,8.0,19.0,0.143434,0.161363,0.304797,1.125,776.0,32.0,40.0,860.0,20.0,40.0,1.0,2.0,1.0,8.0,18.0,49.0,0.0,0.0,0.0,0.0,708.221904,64896.0,64320.0,628.0,0.0,client->server,attack,revshell_http,2023-09-07 14:14:03
CmSVIw2hMHfl5s6c91,192.168.100.104,192.168.100.218,http,0.695584,19.0,19.0,8.0,8.0,27.315175,27.315175,54.630349,1.0,616.0,32.0,40.0,628.0,32.0,44.0,2.0,2.0,0.0,8.0,8.0,37.0,0.0,0.0,0.0,0.0,26508.658109,64896.0,64320.0,502.0,502.0,client->server,attack,revshell_http,2023-09-10 13:20:16
CKU5yTql9pm9Vm2l4,192.168.100.99,192.168.100.218,http,167.393055,24.0,22.0,9.0,12.0,0.143375,0.131427,0.274802,0.916667,776.0,32.0,40.0,700.0,20.0,40.0,1.0,2.0,1.0,9.0,12.0,44.0,0.0,0.0,0.0,0.0,295.711193,64896.0,64320.0,595.0,0.0,client->server,attack,revshell_http,2023-09-08 07:25:52
CmuLz14fgxVisaYmk3,192.168.100.31,192.168.100.218,http,167.433768,23.0,24.0,8.0,15.0,0.137368,0.14334,0.280708,1.043478,744.0,32.0,40.0,764.0,20.0,40.0,1.0,2.0,1.0,8.0,15.0,45.0,0.0,0.0,0.0,0.0,704.547245,64896.0,64320.0,799.0,0.0,client->server,attack,revshell_http,2023-09-07 05:24:28
Cq5rhU1WDqUQPwW9O8,192.168.100.99,192.168.100.218,http,135.211741,27.0,24.0,7.0,15.0,0.199687,0.177499,0.377186,0.888889,872.0,32.0,40.0,776.0,32.0,40.0,2.0,2.0,0.0,7.0,15.0,50.0,0.0,0.0,0.0,0.0,927.212379,64896.0,64320.0,1212.0,502.0,client->server,attack,revshell_http,2023-09-10 06:16:08
CRRly62FwdGx7tOC0b,192.168.100.31,192.168.100.218,http,0.471733,15.0,18.0,8.0,8.0,31.797658,38.15719,69.954848,1.2,488.0,32.0,40.0,584.0,32.0,40.0,2.0,2.0,0.0,8.0,8.0,32.0,0.0,0.0,0.0,0.0,40777.316658,64896.0,64320.0,502.0,502.0,client->server,attack,revshell_http,2023-09-08 03:12:20
CerfwY1di7RZKaF5bj,192.168.100.23,192.168.100.218,http,1.512078999,24.0,28.0,13.0,14.0,15.872187,18.517551,34.389738,1.166667,800.0,32.0,44.0,904.0,32.0,40.0,2.0,2.0,0.0,13.0,14.0,51.0,0.0,0.0,0.0,0.0,18549.956709,64896.0,64320.0,502.0,502.0,client->server,attack,revshell_http,2023-09-07 14:55:24
Cv7vlC4jD846Z9UNfd,192.168.100.99,192.168.100.218,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,502.0,0.0,client->server,attack,revshell_http,2023-09-10 09:34:52
C8B7PFwmrBvNBKRS2,192.168.100.104,192.168.100.218,http,0.005112,6.0,4.0,1.0,1.0,1173.66962,782.446414,1956.116034,0.666667,200.0,32.0,40.0,136.0,32.0,40.0,2.0,2.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,138297.4036,64896.0,64320.0,506.0,502.0,client->server,attack,revshell_http,2023-09-08 16:20:45
CJFs001c0pMk6jYTTf,192.168.100.115,192.168.100.218,http,0.391274,12.0,10.0,4.0,4.0,30.669047,25.557539,56.226586,0.833333,392.0,32.0,40.0,328.0,32.0,40.0,2.0,2.0,0.0,4.0,4.0,21.0,0.0,0.0,0.0,0.0,24762.699821,64896.0,64320.0,502.0,502.0,client->server,attack,revshell_http,2023-09-08 07:43:48
