uid,src_ip,dst_ip,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,payload_bytes_per_second,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic_direction,attack,attack_type,timestamp
Cxefxf3y6kE4PczqK7,192.168.100.49,192.168.100.218,ssl,168.04223,38.0,33.0,12.0,21.0,0.226134,0.196379,0.422513,0.868421,1224.0,32.0,40.0,1052.0,20.0,40.0,1.0,2.0,1.0,12.0,21.0,69.0,0.0,0.0,0.0,0.0,394.995948,64896.0,64320.0,502.0,0.0,client->server,attack,revshell_https,2023-09-09 14:05:46
a_Cturwa4x7VTMg26IZk,192.168.100.104,192.168.100.218,ssl,0.027102,9.0,7.0,3.0,3.0,332.078892,258.283583,590.362475,0.777778,296.0,32.0,40.0,232.0,32.0,40.0,2.0,2.0,0.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,112021.279659,64896.0,64320.0,502.0,502.0,client->server,attack,revshell_https,2023-07-15 16:46:18
C58sVnI3vDlJ7W41b,192.168.100.23,192.168.100.218,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,502.0,0.0,client->server,attack,revshell_https,2023-09-10 14:05:24
Cat4x72SrpMRY6B0i6,192.168.100.99,192.168.100.218,ssl,0.578977,46.0,48.0,9.0,38.0,79.450464,82.904832,162.355296,1.043478,1456.0,20.0,40.0,1544.0,32.0,40.0,2.0,2.0,2.0,9.0,38.0,91.0,0.0,0.0,0.0,0.0,796022.83688,64896.0,64320.0,0.0,502.0,client->server,attack,revshell_https,2023-09-07 06:13:40
CzPZ1p3o1wY7vWB2D2,192.168.100.115,192.168.100.218,ssl,0.595979,19.0,19.0,4.0,14.0,31.880306,31.880306,63.760613,1.0,616.0,32.0,40.0,616.0,32.0,40.0,2.0,2.0,0.0,4.0,14.0,37.0,0.0,0.0,0.0,0.0,163775.846127,64896.0,64320.0,1178.0,502.0,client->server,attack,revshell_https,2023-09-07 00:58:19
CS6GYG2CiApU9o6YLk,192.168.100.31,192.168.100.218,ssl,0.523302999,37.0,36.0,6.0,30.0,70.704763,68.793823,139.498586,0.972973,1168.0,20.0,40.0,1160.0,32.0,40.0,2.0,2.0,2.0,6.0,30.0,70.0,0.0,0.0,0.0,0.0,736069.068964,64896.0,64320.0,0.0,502.0,client->server,attack,revshell_https,2023-09-09 17:06:19
CePQUS13IMZZIIhBhj,192.168.100.115,192.168.100.218,ssl,0.629241,24.0,21.0,7.0,14.0,38.14119,33.373541,71.514731,0.875,776.0,32.0,40.0,680.0,32.0,40.0,2.0,2.0,0.0,7.0,13.0,44.0,0.0,0.0,0.0,0.0,82634.476858,64896.0,64320.0,774.0,502.0,client->server,attack,revshell_https,2023-09-07 04:11:33
CbN5mL3S9aXG2YB12d,192.168.100.23,192.168.100.218,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,502.0,0.0,client->server,attack,revshell_https,2023-09-10 00:45:35
CcHbFa2x8pkVEl8lY7,192.168.100.99,192.168.100.218,ssl,0.619344,28.0,28.0,7.0,20.0,45.209125,45.209125,90.41825,1.0,904.0,32.0,40.0,904.0,32.0,40.0,2.0,2.0,0.0,7.0,20.0,55.0,0.0,0.0,0.0,0.0,269128.305213,64896.0,64320.0,1571.0,502.0,client->server,attack,revshell_https,2023-09-09 18:11:57
CYwUZs3oLAqxP0GVih,192.168.100.49,192.168.100.218,ssl,165.964946,24.0,24.0,7.0,16.0,0.144609,0.144609,0.289218,1.0,788.0,32.0,44.0,764.0,20.0,40.0,1.0,2.0,1.0,7.0,16.0,46.0,0.0,0.0,0.0,0.0,731.720781,64896.0,64320.0,1201.0,0.0,client->server,attack,revshell_https,2023-09-10 10:56:37
