uid,src_ip,dst_ip,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,payload_bytes_per_second,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic_direction,attack,attack_type,timestamp
a_CyGt0n2Rf2IOfzXOla,192.168.100.49,192.168.100.154,ssh,4.369103,11.0,12.0,6.0,5.0,2.517679,2.746559,5.264239,1.090909,360.0,32.0,40.0,392.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,22.0,0.0,0.0,0.0,0.0,806.115131,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 09:21:17
a_CCqiVQ2ZZy8qXZo5Be,192.168.100.99,192.168.100.218,ssh,2.381054,11.0,12.0,6.0,5.0,4.619803,5.039785,9.659587,1.090909,360.0,32.0,40.0,392.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,22.0,0.0,0.0,0.0,0.0,1479.176767,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 04:48:19
a_CIQiq93WG0pfHnZeU3,192.168.100.49,192.168.100.154,ssh,4.366601,11.0,11.0,6.0,5.0,2.519122,2.519122,5.038244,1.0,360.0,32.0,40.0,360.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,21.0,0.0,0.0,0.0,0.0,806.577017,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 10:22:09
a_CUIfpf4Stfi2uf2j5,192.168.100.49,192.168.100.154,ssh,4.3699,11.0,12.0,6.0,5.0,2.51722,2.746058,5.263278,1.090909,360.0,32.0,40.0,392.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,22.0,0.0,0.0,0.0,0.0,805.968102,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 03:01:26
a_ChLej04pRRHegumAzi,192.168.100.99,192.168.100.218,ssh,2.380196,11.0,11.0,6.0,5.0,4.621468,4.621468,9.242936,1.0,360.0,32.0,40.0,360.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,21.0,0.0,0.0,0.0,0.0,1479.710016,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 11:11:13
a_CN6BYn4Yl5o0MXEILe,192.168.100.99,192.168.100.218,ssh,2.380172,11.0,11.0,6.0,5.0,4.621515,4.621515,9.243029,1.0,360.0,32.0,40.0,360.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,21.0,0.0,0.0,0.0,0.0,1479.724986,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 06:25:50
a_CwXFRu2eauw2v1epT7,192.168.100.49,192.168.100.154,ssh,4.371826,11.0,11.0,6.0,5.0,2.516111,2.516111,5.032222,1.0,360.0,32.0,40.0,360.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,21.0,0.0,0.0,0.0,0.0,805.613044,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 00:10:24
a_CevaQ1d5O93Diz4S1,192.168.100.99,192.168.100.218,ssh,4.686594,12.0,12.0,6.0,5.0,2.560495,2.560495,5.12099,1.0,392.0,32.0,40.0,392.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,23.0,0.0,0.0,0.0,0.0,751.505249,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 05:22:38
a_CDBSWY1omLsdVTvg5k,192.168.100.49,192.168.100.154,ssh,2.224129,11.0,12.0,6.0,5.0,4.945756,5.395371,10.341127,1.090909,360.0,32.0,40.0,392.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,22.0,0.0,0.0,0.0,0.0,1583.54127,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 07:57:10
a_CAl8Rs4HjQgpl9eKS,192.168.100.99,192.168.100.218,ssh,2.379911,11.0,12.0,6.0,5.0,4.622022,5.042205,9.664227,1.090909,360.0,32.0,40.0,392.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,22.0,0.0,0.0,0.0,0.0,1479.887307,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 04:46:13
a_CYKAfe4X8Vz2tnoZse,192.168.100.99,192.168.100.218,ssh,2.380477,11.0,12.0,6.0,5.0,4.620923,5.041007,9.661929,1.090909,360.0,32.0,40.0,392.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,22.0,0.0,0.0,0.0,0.0,1479.535434,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 10:02:45
a_CtX3zw3IyWR49DtTr6,192.168.100.99,192.168.100.218,ssh,2.384956,11.0,11.0,6.0,5.0,4.612244,4.612244,9.224488,1.0,360.0,32.0,40.0,360.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,21.0,0.0,0.0,0.0,0.0,1476.756729,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 00:52:50
a_CxESsk3PzT7g0zaOe,192.168.100.49,192.168.100.154,ssh,2.217875,12.0,12.0,6.0,5.0,5.410584,5.410584,10.821169,1.0,392.0,32.0,40.0,392.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,23.0,0.0,0.0,0.0,0.0,1588.006535,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 09:27:04
a_CKc7rn2dP76y9hRf9c,192.168.100.99,192.168.100.218,ssh,2.386935,11.0,11.0,6.0,5.0,4.60842,4.60842,9.216841,1.0,360.0,32.0,40.0,360.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,21.0,0.0,0.0,0.0,0.0,1475.532432,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 00:19:57
a_C4x6k023sPVQ7jRTPc,192.168.100.99,192.168.100.218,ssh,2.385396,11.0,12.0,6.0,5.0,4.611394,5.030611,9.642005,1.090909,360.0,32.0,40.0,392.0,32.0,40.0,2.0,2.0,0.0,6.0,5.0,22.0,0.0,0.0,0.0,0.0,1476.484405,64896.0,64320.0,502.0,502.0,client->server,attack,ssh_login_successful,2023-09-14 01:33:45
