uid,src_ip,dst_ip,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,payload_bytes_per_second,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic_direction,attack,attack_type,timestamp
a_CiWrRY2toTx1A3raa7,192.168.100.104,192.168.100.218,http,0.045796,6.0,4.0,1.0,1.0,131.016045,87.34403,218.360075,0.666667,200.0,32.0,40.0,136.0,32.0,40.0,2.0,2.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,17163.101925,64896.0,64320.0,506.0,502.0,client->server,attack,ssrf_http,2023-08-13 15:39:14
a_CBu4Q7MbLrYXlmPoi,192.168.100.23,192.168.100.218,http,0.002278,6.0,4.0,1.0,1.0,2634.061545,1756.04103,4390.102575,0.666667,200.0,32.0,40.0,136.0,32.0,40.0,2.0,2.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,324867.590538,64896.0,64320.0,506.0,502.0,client->server,attack,ssrf_http,2023-08-10 10:11:03
C2hSBu1wC1RhPGawqb,192.168.100.23,192.168.100.218,http,3.250087999,58.0,59.0,23.0,39.0,17.845671,18.153355,35.999026,1.017241,1864.0,32.0,40.0,1896.0,32.0,40.0,2.0,2.0,0.0,23.0,39.0,116.0,0.0,0.0,0.0,0.0,55985.561412,64896.0,64320.0,1241.0,502.0,client->server,attack,ssrf_http,2023-09-09 20:05:32
C64zBz10zBkScA3WVa,192.168.100.99,192.168.100.218,http,3.12992,45.0,47.0,21.0,30.0,14.377364,15.016358,29.393722,1.044444,1448.0,32.0,40.0,1512.0,32.0,40.0,2.0,2.0,0.0,21.0,29.0,91.0,0.0,0.0,0.0,0.0,23361.619423,64896.0,64320.0,732.0,502.0,client->server,attack,ssrf_http,2023-09-09 21:12:34
CgrW8i3S78pEZVesK6,192.168.100.104,192.168.100.218,http,2.525240999,39.0,39.0,15.0,24.0,15.444071,15.444071,30.888142,1.0,1256.0,32.0,40.0,1256.0,32.0,40.0,2.0,2.0,0.0,15.0,24.0,77.0,0.0,0.0,0.0,0.0,61849.544776,64896.0,64320.0,2142.0,502.0,client->server,attack,ssrf_http,2023-09-06 17:54:17
Cx8QTy1jbEBbvKFt24,192.168.100.99,192.168.100.218,http,2.806188,42.0,39.0,20.0,27.0,14.966923,13.897857,28.864779,0.928571,1352.0,32.0,40.0,1256.0,32.0,40.0,2.0,2.0,0.0,20.0,26.0,80.0,0.0,0.0,0.0,0.0,28296.748823,64896.0,64320.0,741.0,502.0,client->server,attack,ssrf_http,2023-09-10 04:10:58
a_CdXXS523ooF1axlSb4,192.168.100.49,192.168.100.218,http,3.032636,29.0,22.0,13.0,15.0,9.562637,7.254415,16.817052,0.758621,936.0,32.0,40.0,712.0,32.0,40.0,2.0,2.0,0.0,13.0,15.0,50.0,0.0,0.0,0.0,0.0,17595.582551,64896.0,64320.0,538.0,502.0,client->server,attack,ssrf_http,2023-07-10 03:21:18
a_C4Lu7M3BGiYvjTpOde,192.168.100.23,192.168.100.218,http,3.969071,124.0,144.0,31.0,122.0,31.241566,36.280529,67.522095,1.16129,3988.0,32.0,44.0,4616.0,32.0,40.0,2.0,2.0,0.0,31.0,121.0,267.0,0.0,0.0,0.0,0.0,161315.324375,64896.0,64320.0,3920.0,502.0,client->server,attack,ssrf_http,2023-07-08 23:57:53
CRMuaX1X3ylGFa4P43,192.168.100.23,192.168.100.218,http,3.306493,80.0,95.0,14.0,84.0,24.194821,28.731349,52.92617,1.1875,2568.0,32.0,40.0,3048.0,32.0,40.0,2.0,2.0,0.0,14.0,83.0,174.0,0.0,0.0,0.0,0.0,134890.056092,64896.0,64320.0,1548.0,502.0,client->server,attack,ssrf_http,2023-09-09 18:40:05
a_C6KEMy25ObGONbCncb,192.168.100.115,192.168.100.218,http,9.2133,31.0,35.0,14.0,22.0,3.364701,3.798856,7.163557,1.129032,1000.0,32.0,40.0,1128.0,32.0,40.0,2.0,2.0,0.0,14.0,22.0,65.0,0.0,0.0,0.0,0.0,8468.735425,64896.0,64320.0,677.0,502.0,client->server,attack,ssrf_http,2023-08-16 01:52:24
