uid,src_ip,dst_ip,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,payload_bytes_per_second,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic_direction,attack,attack_type,timestamp
CS3kMU36JedfrkMdLd,192.168.100.218,131.173.16.37,ssl,0.039494,8.0,7.0,3.0,3.0,202.562222,177.241944,379.804165,0.875,264.0,32.0,40.0,208.0,20.0,40.0,2.0,2.0,2.0,3.0,3.0,12.0,0.0,0.0,0.0,0.0,32460.596004,64896.0,28960.0,503.0,0.0,server->internet,attack,ssrf_https,2023-09-10 10:35:34
a_Cm0jRH3CZeqJt88Yd1,192.168.100.23,192.168.100.218,ssl,0.018985,9.0,6.0,3.0,3.0,474.057642,316.038428,790.096071,0.666667,296.0,32.0,40.0,200.0,32.0,40.0,2.0,2.0,0.0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,109138.603875,64896.0,64320.0,502.0,502.0,client->server,attack,ssrf_https,2023-07-09 19:19:53
CbkTfR2tHWw9sisJ02,192.168.100.23,192.168.100.218,ssl,3.758681,42.0,41.0,15.0,31.0,11.174133,10.908082,22.082216,0.97619,1328.0,20.0,40.0,1320.0,32.0,40.0,2.0,2.0,2.0,15.0,29.0,80.0,0.0,0.0,0.0,0.0,44776.613934,64896.0,64320.0,0.0,502.0,client->server,attack,ssrf_https,2023-09-08 03:15:37
Cu9Vkx43QFRNfInIN4,192.168.100.99,192.168.100.218,ssl,0.002778,8.0,7.0,3.0,3.0,2879.714384,2519.750086,5399.46447,0.875,264.0,32.0,40.0,232.0,32.0,40.0,2.0,2.0,0.0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,1142886.646069,64896.0,64320.0,502.0,502.0,client->server,attack,ssrf_https,2023-09-07 10:37:29
a_CrNfzo2Z3RsLJIaRZ,192.168.100.104,192.168.100.218,ssl,2.990051,56.0,58.0,19.0,43.0,18.728779,19.397664,38.126443,1.035714,1800.0,32.0,40.0,1864.0,32.0,40.0,2.0,2.0,0.0,19.0,42.0,113.0,0.0,0.0,0.0,0.0,89656.336493,64896.0,64320.0,3047.0,502.0,client->server,attack,ssrf_https,2023-08-13 14:46:45
a_CzTzhA1M92brwCsEoj,192.168.100.49,192.168.100.218,ssl,2.086699,28.0,25.0,8.0,18.0,13.418322,11.980645,25.398967,0.892857,904.0,32.0,40.0,808.0,32.0,40.0,2.0,2.0,0.0,8.0,18.0,52.0,0.0,0.0,0.0,0.0,33002.363879,64896.0,64320.0,853.0,502.0,client->server,attack,ssrf_https,2023-07-10 01:28:26
C8c4uSG4gNjcA7QK5,192.168.100.218,172.67.189.152,ssl,0.037387,8.0,8.0,3.0,5.0,213.977362,213.977362,427.954723,1.0,264.0,32.0,40.0,264.0,32.0,40.0,2.0,2.0,0.0,3.0,5.0,15.0,0.0,0.0,0.0,0.0,243559.731808,64896.0,65160.0,502.0,7.0,server->internet,attack,ssrf_https,2023-09-10 03:52:15
a_CHmAJL2nGkEkoPIXbk,192.168.100.49,192.168.100.218,ssl,3.911985,40.0,37.0,13.0,26.0,10.224988,9.458114,19.683101,0.925,1288.0,32.0,40.0,1192.0,32.0,40.0,2.0,2.0,0.0,13.0,25.0,76.0,0.0,0.0,0.0,0.0,44017.805029,64896.0,64320.0,2326.0,502.0,client->server,attack,ssrf_https,2023-07-10 00:40:13
CKc1rl1MwZpMn9UfJc,192.168.100.49,192.168.100.218,ssl,2.984895,57.0,55.0,13.0,44.0,19.096149,18.426109,37.522258,0.964912,1808.0,20.0,40.0,1768.0,32.0,40.0,2.0,2.0,2.0,13.0,44.0,109.0,0.0,0.0,0.0,0.0,142573.859816,64896.0,64320.0,0.0,502.0,client->server,attack,ssrf_https,2023-09-09 22:40:29
Cc9rbt2Sb9eEVcxAH1,192.168.100.104,192.168.100.218,ssl,3.437246,50.0,43.0,20.0,33.0,14.546529,12.510015,27.056544,0.86,1608.0,32.0,40.0,1384.0,32.0,40.0,2.0,2.0,0.0,20.0,33.0,92.0,0.0,0.0,0.0,0.0,63088.5874,64896.0,64320.0,2253.0,502.0,client->server,attack,ssrf_https,2023-09-09 16:06:51
