uid,src_ip,dst_ip,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,payload_bytes_per_second,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic_direction,attack,attack_type,timestamp
a_CmysCzvLbz4POhoh9,192.168.100.104,192.168.100.218,http,2.006772,91.0,96.0,9.0,89.0,45.346461,47.838025,93.184487,1.054945,2920.0,32.0,40.0,3080.0,32.0,40.0,2.0,2.0,0.0,9.0,88.0,186.0,0.0,0.0,0.0,0.0,274783.609777,64896.0,64320.0,3976.0,502.0,client->server,attack,xss_http,2023-07-15 07:34:22
CJIst12v7jzKVyjzTh,192.168.100.115,192.168.100.218,http,1.758293,20.0,16.0,4.0,12.0,11.374669,9.099735,20.474404,0.8,648.0,32.0,40.0,520.0,32.0,40.0,2.0,2.0,0.0,4.0,10.0,35.0,0.0,0.0,0.0,0.0,33148.060573,64896.0,64320.0,502.0,502.0,client->server,attack,xss_http,2023-09-09 19:14:04
a_CXauMs8sf9B1QEOHe,192.168.100.23,192.168.100.218,http,1.921216,83.0,102.0,13.0,95.0,43.201811,53.091382,96.293192,1.228916,2664.0,32.0,40.0,3272.0,32.0,40.0,2.0,2.0,0.0,13.0,95.0,184.0,0.0,0.0,0.0,0.0,327973.05174,64896.0,64320.0,2524.0,502.0,client->server,attack,xss_http,2023-07-08 22:57:18
CKD7CHVp5gBMmzTYj,192.168.100.49,192.168.100.218,http,0.953881,21.0,17.0,6.0,12.0,22.015324,17.821929,39.837253,0.809524,680.0,32.0,40.0,552.0,32.0,40.0,2.0,2.0,0.0,6.0,12.0,37.0,0.0,0.0,0.0,0.0,47496.489392,64896.0,64320.0,502.0,502.0,client->server,attack,xss_http,2023-09-08 00:42:58
a_CxkFfg4yj8vdTqKFRb,192.168.100.23,192.168.100.218,http,2.000696,89.0,101.0,12.0,96.0,44.484515,50.482428,94.966943,1.134831,2856.0,32.0,40.0,3240.0,32.0,40.0,2.0,2.0,0.0,12.0,95.0,189.0,0.0,0.0,0.0,0.0,274599.414381,64896.0,64320.0,2708.0,502.0,client->server,attack,xss_http,2023-07-09 20:52:05
a_CHgaDBJWU1yfAJZVe,192.168.100.115,192.168.100.218,http,1.485222,15.0,10.0,4.0,7.0,10.0995,6.733,16.832499,0.666667,488.0,32.0,40.0,328.0,32.0,40.0,2.0,2.0,0.0,4.0,7.0,24.0,0.0,0.0,0.0,0.0,29312.787606,64896.0,64320.0,839.0,502.0,client->server,attack,xss_http,2023-08-15 14:30:35
a_CYPETW1RtrOojPISIh,192.168.100.99,192.168.100.218,http,1.404422,16.0,14.0,5.0,10.0,11.392587,9.968513,21.3611,0.875,520.0,32.0,40.0,456.0,32.0,40.0,2.0,2.0,0.0,5.0,10.0,29.0,0.0,0.0,0.0,0.0,45594.556308,64896.0,64320.0,502.0,502.0,client->server,attack,xss_http,2023-08-13 07:46:58
C8GDqXflNvuEFOIgj,192.168.100.31,192.168.100.218,http,0.944298,21.0,18.0,5.0,13.0,22.238742,19.061779,41.30052,0.857143,680.0,32.0,40.0,584.0,32.0,40.0,2.0,2.0,0.0,5.0,12.0,38.0,0.0,0.0,0.0,0.0,46549.922432,64896.0,64320.0,502.0,502.0,client->server,attack,xss_http,2023-09-07 17:57:26
CooDr71afAV0GyKf05,192.168.100.104,192.168.100.218,http,0.854748,33.0,29.0,10.0,23.0,38.60787,33.928128,72.535998,0.878788,1064.0,32.0,40.0,936.0,32.0,40.0,2.0,2.0,0.0,10.0,22.0,61.0,0.0,0.0,0.0,0.0,86228.92254,64896.0,64320.0,574.0,502.0,client->server,attack,xss_http,2023-09-08 12:03:34
CyttdJ2IrZtOv9xirh,192.168.100.49,192.168.100.218,http,2.015049,24.0,23.0,8.0,16.0,11.91038,11.414115,23.324495,0.958333,776.0,32.0,40.0,744.0,32.0,40.0,2.0,2.0,0.0,8.0,15.0,46.0,0.0,0.0,0.0,0.0,25841.555465,64896.0,64320.0,502.0,502.0,client->server,attack,xss_http,2023-09-09 22:39:42
Cc0ygq3hnJ74ghRia6,192.168.100.23,192.168.100.218,http,1.730233,14.0,10.0,4.0,7.0,8.091396,5.779569,13.870965,0.714286,456.0,32.0,40.0,328.0,32.0,40.0,2.0,2.0,0.0,4.0,7.0,23.0,0.0,0.0,0.0,0.0,23082.440955,64896.0,64320.0,523.0,502.0,client->server,attack,xss_http,2023-09-10 07:43:15
Cj3P6J3n1cftxmtEKe,192.168.100.115,104.17.24.14,,0.15976,2.0,1.0,0.0,0.0,12.518778,6.259389,18.778167,0.5,60.0,20.0,40.0,40.0,40.0,40.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64896.0,65160.0,0.0,65160.0,client->internet,attack,xss_http,2023-09-08 14:30:16
CQ5T3ce55Cp4YzF7l,192.168.100.99,192.168.100.218,http,1.790577,28.0,27.0,6.0,21.0,15.637418,15.078939,30.716357,0.964286,904.0,32.0,40.0,872.0,32.0,40.0,2.0,2.0,0.0,6.0,20.0,54.0,0.0,0.0,0.0,0.0,67721.748026,64896.0,64320.0,862.0,502.0,client->server,attack,xss_http,2023-09-08 11:08:42
CATwVE4PWsRX4vkqe3,192.168.100.99,192.168.100.218,http,0.496496,22.0,21.0,5.0,15.0,44.310532,42.296416,86.606948,0.954545,712.0,32.0,40.0,680.0,32.0,40.0,2.0,2.0,0.0,5.0,15.0,42.0,0.0,0.0,0.0,0.0,262876.25671,64896.0,64320.0,1860.0,502.0,client->server,attack,xss_http,2023-09-10 08:37:53
C0g4Zl1kgRTwPjBML9,192.168.100.23,192.168.100.218,http,2.095835,83.0,97.0,10.0,94.0,39.602355,46.28227,85.884625,1.168675,2664.0,32.0,40.0,3112.0,32.0,40.0,2.0,2.0,0.0,10.0,92.0,179.0,0.0,0.0,0.0,0.0,229115.844885,64896.0,64320.0,3253.0,502.0,client->server,attack,xss_http,2023-09-07 11:25:29
CCGAmW2BDyorJRwlZd,192.168.100.23,192.168.100.218,http,1.901138,34.0,30.0,11.0,26.0,17.884025,15.780022,33.664046,0.882353,1096.0,32.0,40.0,968.0,32.0,40.0,2.0,2.0,0.0,11.0,26.0,63.0,0.0,0.0,0.0,0.0,85274.711392,64896.0,64320.0,1360.0,502.0,client->server,attack,xss_http,2023-09-07 03:40:55
